time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
0,NORMAL:0,0,0,0,0,0,None,None,0,0,0,0,0,0,2,0,0,0,0,0,0
3600000,NORMAL:0,0.0,3600000,0,0,0,None,None,12,12000000,12,180000,89851,0,0,0,3600000,59696,120304,44741,135259
7200000,NORMAL:0,0.042168674698795185,7200000,0,0,0,None,None,24,66000000,24,360000,179880,441,0,0,7200000,119449,240551,89558,270442
10800000,NORMAL:0,0.042168674698795185,10800000,0,0,0,None,None,36,163200000,36,540000,269627,2176,0,0,10800000,179398,360602,134788,405212
14400000,NORMAL:0,0.042168674698795185,14400000,0,0,0,None,None,48,303600000,48,720000,359491,3998,0,0,14400000,239305,480695,179832,540168
18000000,NORMAL:0,0.0,18000000,0,0,0,8042000.0,None,55,409200000,54,900000,449618,5742,0,0,18000000,299724,600276,225366,674634
21600000,NORMAL:0,0.0,21600000,0,0,0,8042000.0,None,64,577200000,63,1080000,539265,8085,0,0,21600000,359697,720303,270551,809449
25200000,NORMAL:0,0.0,25200000,0,0,0,8042000.0,None,76,847200000,75,1260000,629294,11731,0,0,25200000,419618,840382,315633,944367
28800000,NORMAL:0,0.042168674698795185,28800000,0,0,0,8042000.0,None,88,1160400000,87,1440000,719080,16930,0,0,28800000,480101,959899,360943,1079057
32400000,NORMAL:0,0.0,32400000,0,0,0,5634000.0,None,95,1366800000,93,1620000,809606,18733,0,0,32400000,540031,1079969,405691,1214309
36000000,NORMAL:0,0.0,36000000,0,0,0,5634000.0,None,104,1635600000,102,1800000,899956,20506,0,0,36000000,600219,1199781,450609,1349391
39600000,NORMAL:0,0.0,39600000,0,0,0,5634000.0,None,116,2078400000,114,1980000,989670,22294,0,0,39600000,660196,1319804,495780,1484220
43200000,NORMAL:0,0.0,43200000,0,0,0,5634000.0,None,128,2564400000,126,2160000,1079720,24067,0,0,43200000,720695,1439305,541302,1618698
46800000,NORMAL:0,0.0,46800000,0,0,0,5634000.0,None,140,3093600000,138,2340000,1169870,25942,0,0,46800000,780728,1559272,586776,1753224
50400000,NORMAL:0,0.0,50400000,0,0,0,5634000.0,None,152,3666000000,150,2520000,1259499,27742,0,0,50400000,840619,1679381,631817,1888183
54000000,NORMAL:0,0.0,54000000,0,0,0,5634000.0,None,164,4281600000,162,2700000,1349295,29547,0,0,54000000,900684,1799316,676560,2023440
57600000,NORMAL:0,0.01807228915662651,57600000,0,0,0,5634000.0,None,176,4940400000,174,2880000,1439462,31563,0,0,57600000,960707,1919293,721291,2158709
61200000,NORMAL:0,0.01807228915662651,61200000,0,0,0,3944500.0,None,186,5523000000,183,3060000,1529141,35039,0,0,61200000,1020887,2039113,766459,2293541
64800000,NORMAL:0,0.01807228915662651,64800000,0,0,0,3944500.0,None,192,5895600000,189,3240000,1618970,38650,1,0,64800000,1080888,2159112,811260,2428740
68400000,NORMAL:0,0.01807228915662651,68400000,0,0,0,19784000.0,None,201,6420000000,197,3420000,1708768,41069,0,0,68400000,1140585,2279415,856242,2563758
72000000,NORMAL:0,0.01807228915662651,72000000,0,0,0,19784000.0,None,208,6901800000,204,3600000,1798516,42862,0,0,72000000,1200669,2399331,901364,2698636
75600000,NORMAL:0,0.01807228915662651,75600000,0,0,0,19784000.0,None,220,7776600000,216,3780000,1888283,44641,0,0,75600000,1260665,2519335,946321,2833679
79200000,NORMAL:0,0.01807228915662651,79200000,0,0,0,19784000.0,None,232,8694600000,228,3960000,1978434,46427,0,0,79200000,1320254,2639746,991174,2968826
82800000,NORMAL:0,0.06024096385542169,82800000,0,0,0,19784000.0,None,244,9655800000,240,4140000,2068626,49483,0,0,82800000,1380231,2759769,1036317,3103683
86400000,NORMAL:0,0.10240963855421688,86400000,0,0,0,19784000.0,None,256,10660200000,252,4320000,2158454,53368,0,0,86400000,1440475,2879525,1081372,3238628
90000000,NORMAL:0,0.06024096385542169,90000000,0,0,0,15125750.0,None,264,11356200000,259,4500000,2248665,57263,0,0,90000000,1500596,2999404,1126254,3373746
93600000,NORMAL:0,0.06024096385542169,93600000,0,0,0,15125750.0,None,272,11994000000,267,4680000,2338726,60927,0,0,93600000,1560455,3119545,1171280,3508720
97200000,NORMAL:0,0.06024096385542169,97200000,0,0,0,15120600.0,None,282,12936600000,276,4860000,2428662,65262,0,0,97200000,1620387,3239613,1216149,3643851
100800000,NORMAL:0,0.01807228915662651,100800000,0,0,0,12646333.333333334,None,283,13128600000,276,5040000,2518388,70656,1,0,100800000,1680298,3359702,1261055,3778945
104400000,NORMAL:0,0.03614457831325302,104400000,0,0,0,12114285.714285715,None,292,13941604000,284,5220000,2608913,76382,0,1000,104399000,1740197,3479803,1306121,3913879
108000000,NORMAL:0,0.03614457831325302,108000000,0,0,0,12114285.714285715,None,298,14573410000,290,5400000,2698772,82413,0,1000,107999000,1799982,3600018,1350927,4049073
111600000,NORMAL:0,0.03614457831325302,111600000,0,0,0,12114285.714285715,None,308,15556216000,300,5580000,2789368,89728,0,1000,111599000,1860093,3719907,1395732,4184268
115200000,NORMAL:0,0.03614457831325302,115200000,0,0,0,12114285.714285715,None,320,16681220000,312,5760000,2879258,95865,0,1000,115199000,1920149,3839851,1440711,4319289
118800000,NORMAL:0,0.06024096385542169,118800000,0,0,0,12225375.0,None,329,17723430000,320,5940000,2969505,101336,0,4000,118796000,1980169,3959831,1485495,4454505
122400000,NORMAL:0,0.06024096385542169,122400000,0,0,0,12225375.0,None,336,18558048000,327,6120000,3059333,109710,0,5000,122395000,2040020,4079980,1530264,4589736
126000000,NORMAL:0,0.01807228915662651,126000000,0,0,0,11445000.0,None,343,19419663000,333,6300000,3149328,116986,0,5000,125995000,2100068,4199932,1575016,4724984
129600000,NORMAL:0,0.01807228915662651,129600000,0,0,0,11420500.0,None,352,20437281000,341,6480000,3239182,123920,0,5000,129595000,2160279,4319721,1619957,4860043
133200000,NORMAL:0,0.01807228915662651,133200000,0,0,0,11420500.0,None,358,21220293000,347,6660000,3329014,129262,0,5000,133195000,2220205,4439795,1664874,4995126
136800000,NORMAL:0,0.01807228915662651,136800000,0,0,0,11420500.0,None,368,22558918000,357,6840000,3418658,134626,0,7000,136793000,2280336,4559664,1709832,5130168
140400000,NORMAL:0,0.01807228915662651,140400000,0,0,0,11420500.0,None,380,24211360000,369,7020000,3508624,139823,0,7000,140393000,2340264,4679736,1754883,5265117
144000000,NORMAL:0,0.12048192771084339,144000000,0,0,0,11420500.0,None,392,25622594000,381,7200000,3598872,145074,0,7000,143993000,2400262,4799738,1799729,5400271
147600000,NORMAL:0,0.13855421686746988,147600000,0,0,0,11420500.0,None,404,27218036000,393,7380000,3688673,154902,0,8000,147592000,2460289,4919711,1844522,5535478
151200000,NORMAL:0,0.1566265060240964,151200000,0,0,0,11420500.0,None,416,28851281000,405,7560000,3778859,165691,0,8000,151192000,2520225,5039775,1889429,5670571
154800000,NORMAL:0,0.12048192771084339,154800000,0,0,0,15567454.545454545,4428000.0,425,30216318000,412,7740000,3868730,174998,0,8000,154792000,2580483,5159517,1934488,5805512
158400000,NORMAL:0,0.12048192771084339,158400000,0,0,0,15567454.545454545,4428000.0,425,30216318000,412,7920000,3959126,183593,0,8000,158392000,2640502,5279498,1979686,5940314
162000000,NORMAL:0,0.16265060240963855,162000000,0,0,0,15567454.545454545,4428000.0,430,31009543000,417,8100000,4048868,193998,0,8000,161992000,2700193,5399807,2024907,6075093
165600000,NORMAL:0,0.16265060240963855,165600000,0,0,0,15567454.545454545,4428000.0,436,31986973000,423,8280000,4138532,203516,0,8000,165592000,2760349,5519651,2069703,6210297
169200000,NORMAL:0,0.20481927710843373,169200000,0,0,0,15567454.545454545,4428000.0,445,33321409000,432,8460000,4228153,213249,0,8000,169192000,2820533,5639467,2114908,6345092
172800000,NORMAL:0,0.20481927710843373,172800000,0,0,0,15567454.545454545,4428000.0,457,35362660000,444,8640000,4318165,224112,0,9000,172791000,2880362,5759638,2160009,6479991
176400000,NORMAL:0,0.16265060240963855,176400000,0,0,0,15417083.333333334,4428000.0,464,36577099000,450,8820000,4408447,233140,0,9000,176391000,2940183,5879817,2204825,6615175
180000000,NORMAL:0,0.16265060240963855,180000000,0,0,0,15417083.333333334,4428000.0,473,38170744000,459,9000000,4498398,242112,0,9000,179991000,3000225,5999775,2249655,6750345
183600000,NORMAL:0,0.16265060240963855,183600000,0,0,0,15417083.333333334,4428000.0,485,40341598000,471,9180000,4588511,251103,0,9000,183591000,3060323,6119677,2294730,6885270
187200000,NORMAL:0,0.16265060240963855,187200000,0,0,0,15417083.333333334,4428000.0,497,42555652000,483,9360000,4678351,260134,0,9000,187191000,3120135,6239865,2339939,7020061
190800000,NORMAL:0,0.16265060240963855,190800000,0,0,0,15417083.333333334,4428000.0,509,44623305000,495,9540000,4768232,269091,0,10000,190790000,3180290,6359710,2384893,7155107
194400000,NORMAL:0,0.12048192771084339,194400000,0,0,0,16835416.666666668,4428000.0,517,46154553000,502,9720000,4858377,276530,0,10000,194390000,3240339,6479661,2430192,7289808
198000000,NORMAL:0,0.16265060240963855,198000000,0,0,0,16835416.666666668,4428000.0,525,47714604000,510,9900000,4948320,286555,0,11000,197989000,3300383,6599617,2475720,7424280
201600000,NORMAL:0,0.22289156626506024,201600000,0,0,0,16835416.666666668,4428000.0,537,49703059000,522,10080000,5038728,301357,0,11000,201589000,3360376,6719624,2520665,7559335
205200000,NORMAL:0,0.24096385542168677,205200000,0,0,0,15949538.461538462,4428000.0,544,51119110000,528,10260000,5128655,316144,0,12000,205188000,3420731,6839269,2565359,7694641
208800000,NORMAL:0,0.2650602409638555,208800000,0,0,0,15949538.461538462,3357500.0,553,52971973000,536,10440000,5218394,333071,0,12000,208788000,3480906,6959094,2610339,7829661
212400000,NORMAL:0,0.2650602409638555,212400000,0,0,0,15504928.57142857,3357500.0,555,53388979000,537,10620000,5308392,347784,0,12000,212388000,3540897,7079103,2655065,7964935
216000000,NORMAL:0,0.2650602409638555,216000000,0,0,0,15504928.57142857,3357500.0,557,53813185000,539,10800000,5398254,362193,0,12000,215988000,3600845,7199155,2700235,8099765
219600000,NORMAL:0,0.26506024096385544,219600000,0,0,0,15652750.0,3357500.0,560,54461194000,541,10980000,5488215,374521,0,12000,219588000,3661078,7318922,2745511,8234489
223200000,NORMAL:0,0.30722891566265065,223200000,0,0,0,15652750.0,3357500.0,562,54886606000,543,11160000,5578565,387002,0,12000,223188000,3721603,7438397,2790515,8369485
226800000,NORMAL:0,0.26506024096385544,226800000,0,0,0,19950833.333333332,3357500.0,569,56453863000,549,11340000,5668578,397621,0,12000,226788000,3781563,7558437,2835446,8504554
230400000,NORMAL:0,0.26506024096385544,230400000,0,0,0,19950833.333333332,3357500.0,578,58501126000,558,11520000,5758753,408407,0,12000,230388000,3841938,7678062,2880414,8639586
234000000,NORMAL:0,0.26506024096385544,234000000,0,0,0,19950833.333333332,3357500.0,590,61043997000,570,11700000,5848853,419312,0,15000,233985000,3901801,7798199,2925197,8774803
237600000,NORMAL:0,0.26506024096385544,237600000,0,0,0,21119656.25,3357500.0,598,62920867000,577,11880000,5938817,428592,0,15000,237585000,3961617,7918383,2970210,8909790
241200000,NORMAL:0,0.26506024096385544,241200000,0,0,0,21119656.25,3357500.0,606,64826537000,585,12060000,6028690,435792,0,15000,241185000,4021242,8038758,3015020,9044980
244800000,NORMAL:0,0.3012048192771084,244800000,0,0,0,21119656.25,3357500.0,618,67488217000,597,12240000,6118724,443677,0,15000,244785000,4080918,8159082,3059751,9180249
248400000,NORMAL:0,0.3373493975903614,248400000,0,0,0,21119656.25,3357500.0,630,69944692000,609,12420000,6209025,451875,0,15000,248385000,4140791,8279209,3104741,9315259
252000000,NORMAL:0,0.29518072289156627,252000000,0,0,0,21321322.916666668,3357500.0,637,71688335000,615,12600000,6299000,457366,0,16000,251984000,4200630,8399370,3149789,9450211
255600000,NORMAL:0,0.3132530120481928,255600000,0,0,0,21321322.916666668,3357500.0,646,73962402000,624,12780000,6389085,462859,0,17000,255583000,4260653,8519347,3194288,9585712
259200000,NORMAL:0,0.3132530120481928,259200000,0,0,0,21321322.916666668,3357500.0,658,77040504000,636,12960000,6479225,468266,0,19000,259181000,4320985,8639015,3239189,9720811
262800000,NORMAL:0,0.33132530120481934,262800000,0,0,0,21321322.916666668,3357500.0,670,79902614000,648,13140000,6569429,473613,0,21000,262779000,4380915,8759085,3284183,9855817
266400000,NORMAL:0,0.33132530120481934,266400000,0,0,0,21321322.916666668,3357500.0,682,82802531000,660,13320000,6659371,477185,0,21000,266379000,4441080,8878920,3328991,9991009
270000000,NORMAL:0,0.33132530120481934,270000000,0,0,0,21321322.916666668,3357500.0,694,85476833000,672,13500000,6749574,480835,0,21000,269979000,4500898,8999102,3374167,10125833
273600000,NORMAL:0,0.33132530120481934,273600000,0,0,0,21321322.916666668,3357500.0,706,88455947000,684,13680000,6839786,484460,0,22000,273578000,4560740,9119260,3419200,10260800
277200000,NORMAL:0,0.33132530120481934,277200000,0,0,0,21321322.916666668,3357500.0,718,91750083000,696,13860000,6930017,488167,0,23000,277177000,4620289,9239711,3464290,10395710
280800000,NORMAL:0,0.33132530120481934,280800000,0,0,0,21321322.916666668,3357500.0,730,94810209000,708,14040000,7019799,491773,0,23000,280777000,4680410,9359590,3509049,10530951
284400000,NORMAL:0,0.33132530120481934,284400000,0,0,0,21321322.916666668,3357500.0,742,98190747000,720,14220000,7109605,496756,0,23000,284377000,4740371,9479629,3554208,10665792
288000000,NORMAL:0,0.33132530120481934,288000000,0,0,0,21321322.916666668,3357500.0,754,101328274000,732,14400000,7199677,502080,0,23000,287977000,4800321,9599679,3598861,10801139
291600000,NORMAL:0,0.33132530120481934,291600000,0,0,0,21321322.916666668,3357500.0,766,104507804000,744,14580000,7289602,507356,0,25000,291575000,4860264,9719736,3643798,10936202
295200000,NORMAL:0,0.33132530120481934,295200000,0,0,0,21321322.916666668,3357500.0,778,107435328000,756,14760000,7379388,512766,0,25000,295175000,4920488,9839512,3688688,11071312
298800000,NORMAL:0,0.33132530120481934,298800000,0,0,0,21321322.916666668,3357500.0,790,110693466000,768,14940000,7469525,518232,0,25000,298775000,4980539,9959461,3733414,11206586
302400000,NORMAL:0,0.33132530120481934,302400000,0,0,0,21321322.916666668,3357500.0,802,113988804000,780,15120000,7559679,523691,0,25000,302375000,5040774,10079226,3778393,11341607
306000000,NORMAL:0,0.33132530120481934,306000000,0,0,0,21321322.916666668,3357500.0,814,117326741000,792,15300000,7649474,529077,0,25000,305975000,5100342,10199658,3823454,11476546
309600000,NORMAL:0,0.37349397590361444,309600000,0,0,0,21321322.916666668,3357500.0,826,121009692000,804,15480000,7739468,534689,0,26000,309574000,5160483,10319517,3868304,11611696
313200000,NORMAL:0,0.37349397590361444,313200000,0,0,0,21321322.916666668,3357500.0,838,124735849000,816,15660000,7829591,541892,0,27000,313173000,5220225,10439775,3913359,11746641
