time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
0,NORMAL:0,0.0,0,1000,0,0,0,0,49133068,0,49077010,343169891,65568887,56058,4,1000,0,0,343169891,0,343169891
60000,NORMAL:0,0.0,59000,1000,0,0,0,0,49133072,56000,49077014,343171497,65568891,56058,0,4000,56000,0,343171497,0,343171497
61000,NORMAL:0,0.0,60000,1000,0,0,0,0,49133072,57000,49077014,343171541,65568891,56058,0,4000,57000,0,343171541,0,343171541
120000,NORMAL:0,0.0,119000,1000,0,0,0,0,49133072,116000,49077014,343173152,65568891,56058,0,4000,116000,0,343173152,0,343173152
121000,NORMAL:0,0.0,120000,1000,0,0,0,0,49133072,117000,49077014,343173198,65568891,56058,2,4000,117000,0,343173198,0,343173198
180000,NORMAL:0,0.0,179000,1000,0,0,0,0,49133072,117000,49077014,343174806,65568891,56058,4,63000,117000,0,343174806,0,343174806
181000,NORMAL:0,0.0,180000,1000,0,0,0,0,49133072,117000,49077014,343174851,65568891,56058,4,64000,117000,0,343174851,0,343174851
240000,NORMAL:0,0.0,239000,1000,0,0,0,0,49133072,117000,49077014,343176460,65568891,56058,4,123000,117000,0,343176460,0,343176460
241000,NORMAL:0,0.0,240000,1000,0,0,0,0,49133072,117000,49077014,343176507,65568891,56058,4,124000,117000,0,343176507,0,343176507
300000,NORMAL:0,0.0,299000,1000,0,0,0,0,49133072,117000,49077014,343178115,65568891,56058,4,183000,117000,0,343178115,0,343178115
301000,NORMAL:0,0.0,300000,1000,0,0,0,0,49133072,117000,49077014,343178159,65568891,56058,4,184000,117000,0,343178159,0,343178159
360000,NORMAL:0,0.0,359000,1000,0,0,0,0,49133072,117000,49077014,343179770,65568891,56058,4,243000,117000,0,343179770,0,343179770
361000,NORMAL:0,0.0,360000,1000,0,0,0,0,49133072,117000,49077014,343179816,65568891,56058,4,244000,117000,0,343179816,0,343179816
420000,NORMAL:0,0.0,419000,1000,0,0,0,0,49133072,117000,49077014,343181424,65568891,56058,4,303000,117000,0,343181424,0,343181424
421000,NORMAL:0,0.0,420000,1000,0,0,0,0,49133072,117000,49077014,343181470,65568891,56058,4,304000,117000,0,343181470,0,343181470
480000,NORMAL:0,0.0,479000,1000,0,0,0,0,49133072,117000,49077014,343183081,65568891,56058,4,363000,117000,0,343183081,0,343183081
481000,NORMAL:0,0.0,480000,1000,0,0,0,0,49133072,117000,49077014,343183126,65568891,56058,4,364000,117000,0,343183126,0,343183126
540000,NORMAL:0,0.0,539000,1000,0,0,0,0,49133072,117000,49077014,343184733,65568891,56058,4,423000,117000,0,343184733,0,343184733
541000,NORMAL:0,0.0,540000,1000,0,0,0,0,49133072,117000,49077014,343184780,65568891,56058,4,424000,117000,0,343184780,0,343184780
600000,NORMAL:0,0.0,599000,1000,0,0,0,0,49133072,117000,49077014,343186388,65568891,56058,4,483000,117000,0,343186388,0,343186388
601000,NORMAL:0,0.0,600000,1000,0,0,0,0,49133072,117000,49077014,343186434,65568891,56058,4,484000,117000,0,343186434,0,343186434
660000,NORMAL:0,0.0,659000,1000,0,0,0,0,49133072,117000,49077014,343188043,65568891,56058,4,543000,117000,0,343188043,0,343188043
