time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,degraded_maintenances,critical_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,qlearning_epsilon,total_reward,total_positive_reward,total_positive_reward_qty,total_non_positive_reward,total_non_positive_reward_qty,qtable_size
0,NORMAL:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0
3600000,NORMAL:0,0.035460992907801414,3600000,0,0,0,654333.3333333334,0,89,3599000,86,3,0,99231,49647,1186,0,1000,3599000,0.9997520957342287,-1703978.8294072945,242447.17059270517,49587,-1946426.0,49644,465
7200000,NORMAL:0,0.035460992907801414,7200000,0,0,0,645000.0,0,108,7199000,104,4,0,198509,99581,1864,0,1000,7199000,0.9995054623258555,-3424930.7914133733,483351.2085866261,98932,-3908282.0,99577,528
10800000,NORMAL:0,0.07142857142857141,10800000,0,0,0,779800.0,0,176,10799000,171,5,0,297788,149189,2623,0,1000,10799000,0.9992572559736609,-5131267.118541033,725798.8814589665,148604,-5857066.0,149184,595
14400000,NORMAL:0,0.10790273556231002,14400000,0,0,0,691666.6666666666,0,263,14399000,257,6,0,397070,198759,3653,0,1000,14399000,0.9990089064614963,-6836458.647796352,968349.3522036474,198317,-7804808.0,198753,660
18000000,NORMAL:0,0.1443768996960486,18000000,0,0,0,649375.0,0,324,17999000,316,8,0,496349,248510,5451,0,1000,17999000,0.9987615325390359,-8546028.523936171,1210437.4760638298,247847,-9756466.0,248502,716
21600000,NORMAL:0,0.30192502532928067,21600000,0,0,0,758300.0,0,336,21599000,326,10,0,595627,297964,8974,0,1000,21599000,0.9985127420711959,-10246010.55319149,1453695.446808511,297673,-11699706.0,297954,789
25200000,NORMAL:0,0.31712259371833834,25200000,0,0,0,715636.3636363636,2798000.0,368,25199000,356,11,1,694907,347929,13270,0,1000,25199000,0.9982665541619434,-11961276.90957447,1695269.0904255323,346990,-13656546.0,347917,842
28800000,NORMAL:0,0.3687943262411347,28800000,0,0,0,683833.3333333334,2798000.0,430,28799000,417,12,1,794188,397317,17291,0,1000,28799000,0.998017547666684,-13656148.23670213,1939037.7632978729,396884,-15595186.0,397304,921
32400000,NORMAL:0,0.49088145896656527,32400000,0,0,0,631714.2857142857,2798000.0,450,32399000,435,14,1,893468,447068,24552,0,1000,32399000,0.9977704142349794,-15360444.035714287,2181789.9642857146,446415,-17542234.0,447053,1023
36000000,NORMAL:0,0.5602836879432622,36000000,0,0,0,1173500.0,2798000.0,464,35999000,447,16,1,992746,496524,32835,0,1000,35999000,0.997521875641297,-17062093.90919453,2424828.0908054714,496240,-19486922.0,496506,1061
39600000,NORMAL:0,0.538500506585613,39600000,0,0,0,1255058.8235294118,2798000.0,488,39599000,470,17,1,1092026,546033,41232,0,1000,39599000,0.9972736582481941,-18764154.82636778,2667859.173632219,546013,-21432014.0,546013,1087
