time,state,measured_state,passed_time_in_NORMAL,passed_time_in_DEGRADED,passed_time_in_CRITICAL,passed_time_in_FAILURE,mean_reaction_time_degraded,mean_reaction_time_critical,total_maintenances,total_maintenance_time,unnecessary_maintenances,total_broker_messages,upkeep_broker_messages,necessary_upkeep_broker_messages,available_teams,time_with_available_teams,time_without_available_teams,correct_role_inference,incorrect_role_inference,correct_state_inference,incorrect_state_inference
0,NORMAL:0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
60000,NORMAL:0,0.0,60000,0,0,0,0,0,1,0,1,1606,1,0,3,60000,0,0,1606,0,1606
120000,NORMAL:0,0.0,120000,0,0,0,0,0,1,0,1,3261,1,0,3,120000,0,0,3261,0,3261
180000,NORMAL:0,0.0,180000,0,0,0,0,0,1,0,1,4915,1,0,4,180000,0,0,4915,0,4915
240000,NORMAL:0,0.0,240000,0,0,0,0,0,1,0,1,6569,1,0,4,240000,0,0,6569,0,6569
300000,NORMAL:0,0.0,300000,0,0,0,0,0,1,0,1,8224,1,0,4,300000,0,0,8224,0,8224
360000,NORMAL:0,0.0,360000,0,0,0,0,0,1,0,1,9879,1,0,4,360000,0,0,9879,0,9879
420000,NORMAL:0,0.0,420000,0,0,0,0,0,1,0,1,11533,1,0,4,420000,0,0,11533,0,11533
480000,NORMAL:0,0.0,480000,0,0,0,0,0,1,0,1,13190,1,0,4,480000,0,0,13190,0,13190
540000,NORMAL:0,0.0,540000,0,0,0,0,0,1,0,1,14842,1,0,4,540000,0,0,14842,0,14842
600000,NORMAL:0,0.0,600000,0,0,0,0,0,1,0,1,16497,1,0,4,600000,0,0,16497,0,16497
660000,NORMAL:0,0.0,660000,0,0,0,0,0,1,0,1,18152,1,0,4,660000,0,0,18152,0,18152
720000,NORMAL:0,0.0,720000,0,0,0,0,0,1,0,1,19807,1,0,4,720000,0,0,19807,0,19807
780000,NORMAL:0,0.0,780000,0,0,0,2000.0,0,2,0,1,21463,2,1,3,780000,0,0,21463,0,21463
840000,NORMAL:0,0.0,840000,0,0,0,2000.0,0,2,0,1,23116,2,1,3,840000,0,0,23116,0,23116
900000,NORMAL:0,0.0,900000,0,0,0,2000.0,0,2,0,1,24770,2,1,3,900000,0,0,24770,0,24770
960000,NORMAL:0,0.0,960000,0,0,0,2000.0,0,2,0,1,26426,2,1,3,960000,0,0,26426,0,26426
1020000,NORMAL:0,0.0,1020000,0,0,0,2000.0,0,2,0,1,28080,2,1,3,1020000,0,0,28080,0,28080
1080000,NORMAL:0,0.0,1080000,0,0,0,2000.0,0,2,0,1,29735,2,1,3,1080000,0,0,29735,0,29735
1140000,NORMAL:0,0.0,1140000,0,0,0,2000.0,0,2,0,1,31389,2,1,3,1140000,0,0,31389,0,31389
1200000,NORMAL:0,0.0,1200000,0,0,0,2000.0,0,2,0,1,33045,2,1,3,1200000,0,0,33045,0,33045
1260000,NORMAL:0,0.0,1260000,0,0,0,2000.0,0,2,0,1,34698,2,1,3,1260000,0,0,34698,0,34698
1320000,NORMAL:0,0.0,1320000,0,0,0,2000.0,0,2,0,1,36354,2,1,3,1320000,0,0,36354,0,36354
1380000,NORMAL:0,0.0,1380000,0,0,0,2000.0,0,2,0,1,38008,2,1,3,1380000,0,0,38008,0,38008
1440000,NORMAL:0,0.0,1440000,0,0,0,2000.0,0,2,0,1,39662,2,1,3,1440000,0,0,39662,0,39662
1500000,NORMAL:0,0.0,1500000,0,0,0,2000.0,0,2,0,1,41317,2,1,3,1500000,0,0,41317,0,41317
1560000,NORMAL:0,0.0,1560000,0,0,0,2000.0,0,2,0,1,42973,2,1,3,1560000,0,0,42973,0,42973
1620000,NORMAL:0,0.0,1620000,0,0,0,2000.0,0,2,0,1,44627,2,1,3,1620000,0,0,44627,0,44627
1680000,NORMAL:0,0.0,1680000,0,0,0,2000.0,0,2,0,1,46281,2,1,3,1680000,0,0,46281,0,46281
1740000,NORMAL:0,0.0,1740000,0,0,0,2000.0,0,2,0,1,47936,2,1,3,1740000,0,0,47936,0,47936
1800000,NORMAL:0,0.0,1800000,0,0,0,2000.0,0,2,0,1,49590,2,1,3,1800000,0,0,49590,0,49590
1860000,NORMAL:0,0.0,1860000,0,0,0,2000.0,0,2,0,1,51246,2,1,3,1860000,0,0,51246,0,51246
1920000,NORMAL:0,0.0,1920000,0,0,0,2000.0,0,2,0,1,52902,2,1,3,1920000,0,0,52902,0,52902
1980000,NORMAL:0,0.0,1980000,0,0,0,2000.0,0,2,0,1,54554,2,1,3,1980000,0,0,54554,0,54554
2040000,NORMAL:0,0.0,2040000,0,0,0,2000.0,0,2,0,1,56210,2,1,3,2040000,0,0,56210,0,56210
2100000,NORMAL:0,0.0,2100000,0,0,0,2000.0,0,2,0,1,57863,2,1,3,2100000,0,0,57863,0,57863
2160000,NORMAL:0,0.0,2160000,0,0,0,2000.0,0,2,0,1,59519,2,1,3,2160000,0,0,59519,0,59519
2220000,NORMAL:0,0.0,2220000,0,0,0,2000.0,0,2,0,1,61172,2,1,3,2220000,0,0,61172,0,61172
2280000,NORMAL:0,0.0,2280000,0,0,0,2000.0,0,2,0,1,62829,2,1,3,2280000,0,0,62829,0,62829
2340000,NORMAL:0,0.0,2340000,0,0,0,2000.0,0,2,0,1,64483,2,1,3,2340000,0,0,64483,0,64483
2400000,NORMAL:0,0.0,2400000,0,0,0,2000.0,0,2,0,1,66137,2,1,3,2400000,0,0,66137,0,66137
2460000,NORMAL:0,0.0,2460000,0,0,0,2000.0,0,2,0,1,67793,2,1,3,2460000,0,0,67793,0,67793
2520000,NORMAL:0,0.0,2520000,0,0,0,2000.0,0,2,0,1,69445,2,1,3,2520000,0,0,69445,0,69445
2580000,NORMAL:0,0.0,2580000,0,0,0,2000.0,0,2,0,1,71101,2,1,3,2580000,0,0,71101,0,71101
2640000,NORMAL:0,0.0,2640000,0,0,0,2000.0,0,2,0,1,72757,2,1,3,2640000,0,0,72757,0,72757
